ステップ,荷重0,変位計1,変位計2,変位計3,変位計4,変位計5,変位計6,変位計7,変位計8,変位計9,変位計10,変位計11,変位計12,変位計13,荷重14,日時,分秒,,γ,θ,γ0,γ1-2,,変位計1
143,653,53.48,1.17,1.07,0,0.32,-0.17,-0.17,0.04,1.96,-0.42,8.46,53.5,5,1490,2710,5152,,0.023950617,-0.000713333,0.023237284,0.021571134,653,53.48
144,663,54.28,1.17,1.06,0,0.33,-0.17,-0.17,0.05,2.04,-0.36,8.5,54,5,1503,2710,5153,,0.024197531,-0.000706667,0.023490864,0.021901031,663,54.28
145,664,55.02,1.17,1.18,0,0.33,-0.17,-0.18,0.04,2.12,-0.28,8.52,55.5,6,1518,2710,5155,,0.024444444,-0.000786667,0.023657778,0.022206186,664,55.02
146,676,55.75,1.17,1.17,0,0.35,-0.17,-0.19,0.04,2.2,-0.24,8.56,55.5,6,1530,2710,5156,,0.024444444,-0.00078,0.023664444,0.022507216,676,55.75
147,683,56.54,1.21,1.16,0,0.36,-0.16,-0.18,0.04,2.28,-0.18,8.6,56,5.5,1545,2710,5158,,0.024938272,-0.000773333,0.024164938,0.022816495,683,56.54
148,689,57.31,1.28,1.15,-0.01,0.36,-0.17,-0.18,0.04,2.36,-0.12,8.62,57,5.5,1558,2710,5200,,0.025432099,-0.000773333,0.024658765,0.023105155,689,57.31
149,702,58.09,1.28,1.27,0,0.4,-0.17,-0.18,0.04,2.44,-0.06,8.64,58,6.5,1573,2710,5201,,0.025432099,-0.000846667,0.024585432,0.023426804,702,58.09
150,707,58.85,1.28,1.27,0,0.4,-0.17,-0.18,0.04,2.54,0.02,8.68,59.5,7,1583,2710,5203,,0.025925926,-0.000846667,0.025079259,0.023740206,707,58.85
151,712,59.55,1.28,1.27,-0.01,0.41,-0.17,-0.18,0.04,2.62,0.08,8.72,59,7,1598,2710,5204,,0.025679012,-0.000853333,0.024825679,0.024028866,712,59.55
152,723,60.34,1.28,1.27,0,0.42,-0.17,-0.19,0.04,2.72,0.12,8.74,59.5,7.5,1608,2710,5206,,0.025679012,-0.000846667,0.024832346,0.024354639,723,60.34
153,734,61.02,1.27,1.27,-0.01,0.43,-0.17,-0.19,0.05,2.78,0.18,8.76,61,7,1620,2710,5207,,0.026666667,-0.000853333,0.025813333,0.024639175,734,61.02
154,741,61.81,1.28,1.38,-0.01,0.44,-0.17,-0.19,0.04,2.86,0.22,8.78,61.5,7.5,1633,2710,5209,,0.026666667,-0.000926667,0.02574,0.024960825,741,61.81
155,753,62.57,1.3,1.37,-0.01,0.44,-0.17,-0.19,0.04,2.96,0.28,8.82,62.5,7.5,1648,2710,5211,,0.027160494,-0.00092,0.026240494,0.025265979,753,62.57
156,751,63.35,1.38,1.38,0,0.44,-0.17,-0.2,0.04,3.04,0.32,8.84,63.5,8,1655,2710,5212,,0.027407407,-0.00092,0.026487407,0.025554639,751,63.35
157,765,64.05,1.38,1.37,-0.01,0.45,-0.28,-0.2,0.05,3.12,0.4,8.86,63.5,7,1668,2710,5214,,0.027901235,-0.00092,0.026981235,0.025843299,765,64.05
158,774,64.76,1.38,1.39,-0.01,0.46,-0.29,-0.2,0.05,3.22,0.44,8.9,64,7.5,1680,2710,5215,,0.027901235,-0.000933333,0.026967901,0.026136082,774,64.76
159,778,65.51,1.38,1.48,0,0.47,-0.28,-0.2,0.04,3.3,0.5,8.92,65,7.5,1690,2710,5217,,0.028395062,-0.000986667,0.027408395,0.026445361,778,65.51
160,786,66.3,1.38,1.47,-0.01,0.49,-0.28,-0.21,0.05,3.38,0.56,8.92,66.5,8,1703,2710,5218,,0.028888889,-0.000986667,0.027902222,0.026771134,786,66.3
161,790,67,1.38,1.48,-0.02,0.51,-0.28,-0.19,0.05,3.48,0.62,8.94,66.5,7.5,1713,2710,5220,,0.029135802,-0.001,0.028135802,0.027059794,790,67
162,804,67.77,1.38,1.47,-0.01,0.52,-0.28,-0.2,0.04,3.56,0.68,9,67.5,6.5,1723,2710,5221,,0.030123457,-0.000986667,0.02913679,0.02737732,804,67.77
163,805,68.47,1.41,1.47,-0.01,0.53,-0.29,-0.22,0.04,3.64,0.74,9,68,7,1733,2710,5223,,0.030123457,-0.000986667,0.02913679,0.027653608,805,68.47
164,817,69.15,1.39,1.57,-0.01,0.52,-0.28,-0.21,0.05,3.74,0.78,9,69,7,1743,2710,5224,,0.030617284,-0.001053333,0.029563951,0.027942268,817,69.15
165,825,69.93,1.39,1.58,-0.01,0.52,-0.29,-0.21,0.04,3.8,0.86,9.04,70.5,7,1753,2710,5226,,0.031358025,-0.00106,0.030298025,0.028263918,825,69.93
166,837,70.61,1.38,1.58,0,0.53,-0.29,-0.22,0.04,3.9,0.9,9.08,70,7.5,1763,2710,5227,,0.030864198,-0.001053333,0.029810864,0.028548454,837,70.61
167,837,71.31,1.49,1.6,0,0.54,-0.29,-0.21,0.05,3.98,0.94,9.08,70.5,7.5,1773,2710,5229,,0.031111111,-0.001066667,0.030044444,0.028791753,837,71.31
168,844,72.09,1.49,1.57,-0.01,0.56,-0.28,-0.22,0.05,4.08,1,9.1,72,7.5,1788,2710,5230,,0.031851852,-0.001053333,0.030798519,0.029113402,844,72.09
169,847,72.79,1.49,1.64,-0.01,0.58,-0.28,-0.21,0.05,4.16,1.08,9.16,72,7,1795,2710,5232,,0.032098765,-0.0011,0.030998765,0.029402062,847,72.79
170,860,73.69,1.49,1.68,-0.01,0.59,-0.28,-0.21,0.04,4.28,1.14,9.16,73,7,1808,2710,5234,,0.032592593,-0.001126667,0.031465926,0.029773196,860,73.69
171,871,74.32,1.49,1.68,-0.02,0.6,-0.28,-0.22,0.03,4.38,1.2,9.18,74,7,1815,2710,5235,,0.03308642,-0.001133333,0.031953086,0.03003299,871,74.32
172,883,75.15,1.49,1.69,-0.01,0.59,-0.29,-0.21,0.03,4.46,1.24,9.18,74.5,7,1825,2710,5237,,0.033333333,-0.001133333,0.0322,0.030375258,883,75.15
173,885,75.84,1.48,1.69,0,0.61,-0.29,-0.22,0.02,4.56,1.3,9.22,76,7,1835,2710,5238,,0.034074074,-0.001126667,0.032947407,0.030663918,885,75.84
174,888,76.64,1.51,1.69,0.01,0.62,-0.29,-0.22,0.02,4.66,1.36,9.26,76,6.5,1845,2710,5240,,0.034320988,-0.00112,0.033200988,0.030981443,888,76.64
175,899,77.33,1.59,1.8,0,0.62,-0.29,-0.22,0.02,4.76,1.42,9.26,76.5,7,1855,2710,5241,,0.034320988,-0.0012,0.033120988,0.03123299,899,77.33
176,908,78,1.59,1.81,0,0.63,-0.29,-0.22,0.02,4.84,1.46,9.28,77,6.5,1865,2710,5243,,0.034814815,-0.001206667,0.033608148,0.031509278,908,78
177,905,78.79,1.59,1.8,0,0.65,-0.3,-0.22,0.02,4.94,1.52,9.32,78.5,7,1873,2710,5244,,0.035308642,-0.0012,0.034108642,0.031835052,905,78.79
178,910,79.49,1.59,1.79,0,0.65,-0.29,-0.22,0.02,5.06,1.6,9.32,78.5,7.5,1883,2710,5246,,0.035061728,-0.001193333,0.033868395,0.032123711,910,79.49
179,909,80.2,1.59,1.79,0,0.67,-0.29,-0.23,0.02,5.16,1.66,9.34,79.5,7.5,1890,2710,5247,,0.035555556,-0.001193333,0.034362222,0.032416495,909,80.2
180,919,80.88,1.59,1.8,0.01,0.69,-0.29,-0.24,0.01,5.26,1.7,9.36,80,7.5,1898,2710,5249,,0.035802469,-0.001193333,0.034609136,0.032696907,919,80.88
181,918,81.57,1.57,1.8,0,0.7,-0.3,-0.24,0.01,5.36,1.78,9.36,81,7,1908,2710,5250,,0.03654321,-0.0012,0.03534321,0.032989691,918,81.57
182,916,82.26,1.64,1.88,0,0.72,-0.29,-0.23,0.01,5.46,1.82,9.38,81,6.5,1915,2710,5252,,0.036790123,-0.001253333,0.03553679,0.033245361,916,82.26
183,924,83.04,1.69,1.9,0,0.71,-0.29,-0.24,0.01,5.58,1.88,9.4,82,7,1923,2710,5253,,0.037037037,-0.001266667,0.03577037,0.033546392,924,83.04
184,937,83.74,1.7,1.91,-0.01,0.72,-0.29,-0.25,0.02,5.7,1.96,9.42,83,9,1928,2710,5255,,0.03654321,-0.00128,0.03526321,0.033830928,937,83.74
185,940,84.41,1.7,1.9,-0.02,0.73,-0.28,-0.25,0,5.78,2.02,9.44,83.5,9.5,1938,2710,5256,,0.03654321,-0.00128,0.03526321,0.034107216,940,84.41
186,941,85.12,1.69,1.9,-0.01,0.73,-0.29,-0.26,0.02,5.9,2.08,9.44,84,9.5,1943,2710,5258,,0.036790123,-0.001273333,0.03551679,0.034404124,941,85.12
187,937,85.83,1.71,1.89,0,0.73,-0.29,-0.26,0.01,6.02,2.14,9.46,85,9,1948,2710,5300,,0.037530864,-0.00126,0.036270864,0.03468866,937,85.83
188,943,86.5,1.69,1.91,0,0.75,-0.29,-0.26,0.01,6.1,2.16,9.48,85.5,9,1955,2710,5301,,0.037777778,-0.001273333,0.036504444,0.034973196,943,86.5
189,950,87.12,1.7,2,0,0.74,-0.29,-0.28,0.01,6.24,2.26,9.5,86,10,1960,2710,5303,,0.037530864,-0.001333333,0.036197531,0.035224742,950,87.12
190,947,87.82,1.78,2.01,0,0.75,-0.29,-0.29,0.02,6.32,2.32,9.52,86.5,10,1968,2710,5304,,0.037777778,-0.00134,0.036437778,0.035480412,947,87.82
191,944,88.42,1.79,2.01,0,0.76,-0.29,-0.29,0.02,6.42,2.38,9.52,87,10.5,1973,2710,5306,,0.037777778,-0.00134,0.036437778,0.035723711,944,88.42
192,951,89.09,1.79,2,-0.01,0.75,-0.28,-0.29,0.02,6.52,2.42,9.54,87.5,10.5,1980,2710,5307,,0.038024691,-0.00134,0.036684691,0.036,951,89.09
193,952,89.69,1.8,2,0.01,0.75,-0.29,-0.32,0.01,6.62,2.46,9.54,88.5,9.5,1980,2710,5309,,0.039012346,-0.001326667,0.037685679,0.036243299,952,89.69
194,957,90.38,1.8,2.01,0.01,0.75,-0.29,-0.31,0.02,6.72,2.54,9.56,89.5,9,1985,2710,5310,,0.039753086,-0.001333333,0.038419753,0.036527835,957,90.38
195,958,90.97,1.79,2.01,0,0.75,-0.29,-0.31,0.01,6.82,2.56,9.56,90,8.5,1993,2710,5312,,0.040246914,-0.00134,0.038906914,0.036775258,958,90.97
196,968,91.58,1.79,2.01,0.01,0.76,-0.29,-0.31,0.02,6.94,2.64,9.58,90.5,8.5,1998,2710,5313,,0.040493827,-0.001333333,0.039160494,0.037026804,968,91.58
197,969,92.17,1.79,2.11,0,0.76,-0.29,-0.33,0.01,7.02,2.7,9.6,91.5,9.5,2005,2710,5315,,0.040493827,-0.001406667,0.03908716,0.037270103,969,92.17
198,974,92.87,1.9,2.11,0.01,0.77,-0.29,-0.33,0.02,7.14,2.72,9.62,91.5,10,2008,2710,5316,,0.040246914,-0.0014,0.038846914,0.037513402,974,92.87
199,981,93.47,1.9,2.11,0,0.77,-0.28,-0.34,0.02,7.24,2.8,9.64,92,10.5,2015,2710,5318,,0.040246914,-0.001406667,0.038840247,0.037760825,981,93.47
200,983,94.07,1.91,2.11,-0.01,0.77,-0.29,-0.34,0.01,7.34,2.84,9.64,92.5,10.5,2018,2710,5319,,0.040493827,-0.001413333,0.039080494,0.038004124,983,94.07
201,983,94.75,1.91,2.11,0,0.78,-0.28,-0.35,0.02,7.48,2.9,9.64,94,10,2023,2710,5321,,0.041481481,-0.001406667,0.040074815,0.038284536,983,94.75
202,987,95.57,1.9,2.12,0,0.78,-0.36,-0.35,0.01,7.64,2.98,9.66,94,11,2025,2710,5323,,0.040987654,-0.001413333,0.039574321,0.038626804,987,95.57,
203,888,96.06,2,2.2,0,0.78,-0.35,-0.36,0.02,8.02,3.16,9.64,94.5,9,1815,2710,5439,,0.042222222,-0.001466667,0.040755556,0.038787629,888,96.06,145.88
204,871,96.06,2.01,2.19,0,0.78,-0.35,-0.36,-0.01,8.08,3.22,9.62,94.5,10,1785,2710,5541,,0.041728395,-0.00146,0.040268395,0.038783505,871,-49.82,96.06
205,860,96.05,2.07,2.2,0,0.78,-0.37,-0.37,-0.01,8.1,3.22,9.64,94.5,9.5,1758,2710,5718,,0.041975309,-0.001466667,0.040508642,0.038754639,860,-49.83,96.05
206,883,96.35,2.07,2.21,0,0.79,-0.35,-0.36,-0.01,8.12,3.26,9.62,95,11.5,1828,2710,5721,,0.041234568,-0.001473333,0.039761235,0.038878351,883,-49.53,96.35
207,910,97.02,2.04,2.21,0,0.79,-0.35,-0.37,-0.01,8.14,3.24,9.68,95.5,10.5,1885,2710,5723,,0.041975309,-0.001473333,0.040501975,0.03916701,910,-48.86,97.02
208,931,97.64,2.05,2.22,0,0.78,-0.36,-0.37,-0.02,8.16,3.26,9.7,97,11,1933,2710,5724,,0.042469136,-0.00148,0.040989136,0.039418557,931,-48.24,97.64
209,952,98.29,2.06,2.22,0,0.79,-0.36,-0.38,-0.01,8.22,3.28,9.74,97,11.5,1970,2710,5726,,0.042222222,-0.00148,0.040742222,0.039682474,952,-47.59,98.29
210,968,98.85,2.11,2.21,0,0.79,-0.35,-0.39,-0.02,8.28,3.32,9.72,97.5,11.5,2003,2710,5727,,0.042469136,-0.001473333,0.040995802,0.039892784,968,-47.03,98.85
211,986,99.55,2.12,2.23,-0.01,0.8,-0.35,-0.41,-0.01,8.36,3.36,9.74,98,11,2025,2710,5729,,0.042962963,-0.001493333,0.04146963,0.04017732,986,-46.33,99.55
212,994,100.23,2.13,2.3,0,0.8,-0.35,-0.41,0,8.44,3.4,9.76,98.5,12,2045,2710,5730,,0.042716049,-0.001533333,0.041182716,0.040453608,994,-45.65,100.23
213,993,100.82,2.12,2.31,-0.01,0.84,-0.35,-0.41,0,8.54,3.44,9.78,100,12,2058,2710,5732,,0.04345679,-0.001546667,0.041910123,0.040701031,993,-45.06,100.82
214,1004,101.41,2.11,2.32,-0.01,0.84,-0.36,-0.42,-0.01,8.64,3.5,9.78,100,12,2068,2710,5733,,0.04345679,-0.001553333,0.041903457,0.040948454,1004,-44.47,101.41
215,1010,101.97,2.12,2.31,0,0.85,-0.35,-0.42,-0.01,8.72,3.52,9.8,100.5,10.5,2075,2710,5735,,0.044444444,-0.00154,0.042904444,0.041175258,1010,-43.91,101.97
216,1014,102.56,2.11,2.32,0,0.85,-0.36,-0.43,-0.01,8.82,3.58,9.78,101,12,2080,2710,5736,,0.043950617,-0.001546667,0.042403951,0.04142268,1014,-43.32,102.56
217,1022,103.13,2.11,2.31,0,0.86,-0.35,-0.44,-0.01,8.94,3.62,9.8,101.5,12,2085,2710,5738,,0.044197531,-0.00154,0.042657531,0.041657732,1022,-42.75,103.13
218,1026,103.72,2.12,2.32,0,0.87,-0.35,-0.43,-0.01,9.06,3.64,9.82,102.5,12.5,2093,2710,5739,,0.044444444,-0.001546667,0.042897778,0.041896907,1026,-42.16,103.72
219,1034,104.31,2.12,2.31,0.01,0.87,-0.36,-0.44,-0.01,9.18,3.68,9.8,102.5,12,2090,2710,5740,,0.044691358,-0.001533333,0.043158025,0.042140206,1034,-41.57,104.31
220,1038,104.78,2.11,2.32,0,0.88,-0.36,-0.45,-0.01,9.3,3.72,9.84,103,11.5,2090,2710,5742,,0.045185185,-0.001546667,0.043638519,0.042338144,1038,-41.1,104.78
221,1037,105.3,2.13,2.32,0.01,0.88,-0.35,-0.45,-0.04,9.44,3.78,9.82,104,11.5,2093,2710,5743,,0.045679012,-0.00154,0.044139012,0.04254433,1037,-40.58,105.3
222,1040,105.96,2.12,2.32,0,0.88,-0.36,-0.45,-0.03,9.58,3.82,9.82,104.5,12.5,2090,2710,5745,,0.045432099,-0.001546667,0.043885432,0.042820619,1040,-39.92,105.96
223,1041,106.45,2.11,2.33,-0.01,0.89,-0.35,-0.45,-0.04,9.72,3.82,9.82,105,12.5,2093,2710,5746,,0.045679012,-0.00156,0.044119012,0.043026804,1041,-39.43,106.45
224,1050,107.03,2.22,2.32,0,0.9,-0.36,-0.46,-0.03,9.84,3.86,9.82,105.5,12.5,2095,2710,5748,,0.045925926,-0.001546667,0.044379259,0.043220619,1050,-38.85,107.03
225,1057,107.6,2.22,2.31,0,0.91,-0.36,-0.47,-0.04,9.98,3.88,9.82,106,12,2093,2710,5749,,0.046419753,-0.00154,0.044879753,0.04345567,1057,-38.28,107.6
226,1054,108.19,2.21,2.31,0.01,0.9,-0.36,-0.47,-0.03,10.16,3.94,9.82,107,13,2093,2710,5751,,0.046419753,-0.001533333,0.04488642,0.043703093,1054,-37.69,108.19
227,1054,108.77,2.22,2.35,0,0.93,-0.36,-0.47,-0.04,10.28,3.96,9.82,107.5,13,2098,2710,5752,,0.046666667,-0.001566667,0.0451,0.043938144,1054,-37.11,108.77
228,1058,109.44,2.22,2.42,0,0.94,-0.35,-0.48,-0.03,10.44,4,9.84,108,12.5,2100,2710,5754,,0.047160494,-0.001613333,0.04554716,0.044214433,1058,-36.44,109.44
229,1063,110.01,2.22,2.42,0.01,0.93,-0.36,-0.48,-0.05,10.56,4.02,9.84,108.5,11,2098,2710,5755,,0.048148148,-0.001606667,0.046541481,0.044449485,1063,-35.87,110.01
230,1070,110.59,2.21,2.43,0,0.95,-0.36,-0.48,-0.03,10.7,4.06,9.84,109,11.5,2103,2710,5757,,0.048148148,-0.00162,0.046528148,0.044692784,1070,-35.29,110.59
231,1073,111.17,2.28,2.43,0,0.95,-0.36,-0.49,-0.04,10.84,4.08,9.86,110,11.5,2108,2710,5758,,0.048641975,-0.00162,0.047021975,0.044903093,1073,-34.71,111.17
232,1076,111.75,2.32,2.43,0.01,0.96,-0.36,-0.49,-0.03,10.98,4.14,9.86,110.5,12,2108,2710,5759,,0.048641975,-0.001613333,0.047028642,0.045125773,1076,-34.13,111.75
233,1078,112.33,2.3,2.43,0.01,0.97,-0.36,-0.49,-0.04,11.12,4.14,9.86,111,12,2110,2710,5801,,0.048888889,-0.001613333,0.047275556,0.045373196,1078,-33.55,112.33
234,1082,112.92,2.33,2.43,0.01,0.98,-0.36,-0.49,-0.04,11.28,4.2,9.86,111.5,12,2113,2710,5802,,0.049135802,-0.001613333,0.047522469,0.045604124,1082,-32.96,112.92
235,1087,113.49,2.32,2.42,0.01,0.98,-0.36,-0.5,-0.03,11.42,4.22,9.86,112,12.5,2118,2710,5804,,0.049135802,-0.001606667,0.047529136,0.045843299,1087,-32.39,113.49
236,1086,114.07,2.32,2.41,0.01,1,-0.36,-0.5,-0.03,11.56,4.26,9.84,113.5,12.5,2120,2710,5805,,0.049876543,-0.0016,0.048276543,0.046082474,1086,-31.81,114.07
237,1092,114.75,2.33,2.42,0,1.03,-0.36,-0.51,-0.03,11.7,4.28,9.88,113,13.5,2125,2710,5806,,0.049135802,-0.001613333,0.047522469,0.046358763,1092,-31.13,114.75
238,1099,115.43,2.32,2.43,0,1.04,-0.36,-0.51,-0.04,11.86,4.32,9.88,113.5,13,2128,2710,5808,,0.04962963,-0.00162,0.04800963,0.046643299,1099,-30.45,115.43
239,1103,115.99,2.42,2.42,0.02,1.04,-0.36,-0.51,-0.04,11.98,4.34,9.88,114.5,13.5,2130,2710,5809,,0.049876543,-0.0016,0.048276543,0.04683299,1103,-29.89,115.99
240,1101,116.68,2.42,2.43,0.01,1.06,-0.36,-0.53,-0.04,12.14,4.4,9.88,115,13,2135,2710,5811,,0.05037037,-0.001613333,0.048757037,0.047117526,1101,-29.2,116.68
241,1105,117.36,2.42,2.49,0.01,1.06,-0.35,-0.53,-0.04,12.3,4.42,9.88,116,14,2138,2710,5812,,0.05037037,-0.001653333,0.048717037,0.047397938,1105,-28.52,117.36
242,1105,117.97,2.42,2.53,0.01,1.06,-0.36,-0.54,-0.04,12.44,4.48,9.9,116.5,13.5,2140,2710,5814,,0.050864198,-0.00168,0.049184198,0.047649485,1105,-27.91,117.97
243,1110,118.6,2.42,2.53,-0.01,1.08,-0.35,-0.55,-0.03,12.56,4.5,9.92,117,15.5,2145,2710,5815,,0.050123457,-0.001693333,0.048430123,0.047909278,1110,-27.28,118.6
244,1110,119.2,2.43,2.53,-0.02,1.08,-0.36,-0.56,-0.04,12.72,4.54,9.92,117.5,14.5,2143,2710,5816,,0.050864198,-0.0017,0.049164198,0.048152577,1110,-26.68,119.2
245,1116,119.86,2.53,2.53,0,1.08,-0.35,-0.55,-0.04,12.86,4.6,9.92,118,14.5,2148,2710,5818,,0.051111111,-0.001686667,0.049424444,0.048383505,1116,-26.02,119.86
246,1124,120.54,2.53,2.52,-0.01,1.09,-0.36,-0.56,-0.03,13.04,4.64,9.94,118.5,14,2143,2710,5819,,0.051604938,-0.001686667,0.049918272,0.048663918,1124,-25.34,120.54
247,1110,121.21,2.53,2.53,0,1.11,-0.36,-0.57,-0.02,13.56,4.72,9.94,119.5,14.5,2010,2710,5821,,0.051851852,-0.001686667,0.050165185,0.048940206,1110,-24.67,121.21
248,792,122.47,2.85,2.52,-0.14,1.3,-0.1,-0.52,0.1,16.16,5.18,9.7,120.5,14.5,1348,2710,5822,,0.052345679,-0.001773333,0.050572346,0.049327835,792,-23.41,122.47
249,791,123.15,2.85,2.53,-0.13,1.35,-0.1,-0.5,0.12,16.38,5.18,9.66,120.5,15,1378,2710,5824,,0.052098765,-0.001773333,0.050325432,0.049608247,791,-22.73,123.15
250,785,123.89,2.85,2.53,-0.14,1.41,-0.09,-0.49,0.13,16.62,5.2,9.64,122,14.5,1383,2710,5825,,0.05308642,-0.00178,0.05130642,0.049913402,785,-21.99,123.89
251,780,124.51,2.85,2.52,-0.14,1.44,-0.08,-0.48,0.14,16.86,5.2,9.66,122.5,15.5,1393,2710,5826,,0.052839506,-0.001773333,0.051066173,0.050169072,780,-21.37,124.51
252,780,125.26,2.88,2.52,-0.14,1.5,0.02,-0.4,0.24,18.26,5.48,9.52,123,15.5,1035,2710,5828,,0.05308642,-0.001773333,0.051313086,0.050465979,780,-20.62,125.26
253,630,126.21,3.07,2.61,-0.12,1.7,0.06,-0.4,0.25,18.6,5.46,9.52,124.5,15,1053,2710,5829,,0.054074074,-0.00182,0.052254074,0.050779381,630,-19.67,126.21
254,628,126.99,3.07,2.63,-0.11,1.75,0.07,-0.39,0.26,18.84,5.48,9.52,124.5,15.5,1070,2710,5831,,0.05382716,-0.001826667,0.052000494,0.051101031,628,-18.89,126.99
255,467,128.14,3.17,2.51,-0.1,1.99,0.25,-0.29,0.38,20.92,5.94,9.06,125.5,16,668,2710,5832,,0.054074074,-0.00174,0.052334074,0.051534021,467,-17.74,128.14
256,471,128.99,3.28,2.51,-0.09,2.05,0.26,-0.26,0.39,21.2,5.94,9.06,126.5,16,680,2710,5834,,0.054567901,-0.001733333,0.052834568,0.051839175,471,-16.89,128.99
257,476,129.68,3.26,2.52,-0.08,2.1,0.27,-0.26,0.41,21.42,5.94,9.06,126.5,14.5,650,2710,5835,,0.055308642,-0.001733333,0.053575309,0.052131959,476,-16.2,129.68
258,445,129.77,3.26,2.52,0.16,2.13,0.29,-0.24,0.43,21.66,5.94,9.08,127,15.5,645,2710,5853,,0.055061728,-0.001573333,0.053488395,0.052169072,445,-16.11,129.77
259,469,130.43,3.27,2.52,-0.1,2.17,0.28,-0.24,0.43,21.78,5.94,9.06,127.5,16,688,2710,5855,,0.055061728,-0.001746667,0.053315062,0.052437113,469,-15.45,130.43
260,477,131.2,3.29,2.53,-0.09,2.22,0.29,-0.22,0.44,22.04,5.96,9.06,128.5,16.5,680,2710,5856,,0.055308642,-0.001746667,0.053561975,0.052746392,477,-14.68,131.2
261,478,132,3.38,2.53,-0.09,2.27,0.29,-0.21,0.45,22.36,5.96,9.06,129.5,17,675,2710,5858,,0.055555556,-0.001746667,0.053808889,0.053039175,478,-13.88,132
262,482,132.76,3.38,2.53,-0.09,2.32,0.3,-0.21,0.47,22.66,5.94,9.06,130.5,16,678,2710,5859,,0.05654321,-0.001746667,0.054796543,0.053352577,482,-13.12,132.76
263,485,133.51,3.38,2.54,-0.1,2.38,0.31,-0.13,0.79,27.12,6.7,6.92,131,16.5,150,2710,5901,,0.05654321,-0.00176,0.05478321,0.053661856,485,-12.37,133.51
264,312,134.85,3.59,2.52,-0.12,3.37,0.52,0.03,0.75,27,6.86,7.52,132,17,195,2710,5902,,0.056790123,-0.00176,0.055030123,0.054127835,312,-11.03,134.85
265,323,135.64,3.59,2.53,-0.1,3.37,0.53,0.04,0.75,27.2,6.86,7.5,133,18,203,2710,5904,,0.056790123,-0.001753333,0.05503679,0.054453608,323,-10.24,135.64
266,327,136.51,3.58,2.53,-0.1,3.37,0.53,0.04,0.77,27.48,6.86,7.5,134,17.5,203,2710,5905,,0.057530864,-0.001753333,0.055777531,0.054816495,327,-9.37,136.51
267,327,137.27,3.58,2.53,-0.1,3.38,0.54,0.06,0.78,27.82,6.86,7.48,134,17.5,190,2710,5907,,0.057530864,-0.001753333,0.055777531,0.055129897,327,-8.61,137.27
268,330,138.1,3.57,2.53,-0.09,3.46,0.56,0.07,0.8,28.14,6.86,7.46,135.5,17.5,185,2710,5908,,0.058271605,-0.001746667,0.056524938,0.055476289,330,-7.78,138.1
