,â◊èd,ïœà 1,ïœà 2,ïœà 3,ïœà 4,ïœà 5,ïœà 6,ïœà 7,ïœà 8,9,10,11,ïœ12,ïœ13,14,ì˙Å@éû,ï™Å@ïb,,
7,-8,-0.19,0.02,0.02,0.01,0,0,-0.01,0,0,0,0,-0.5,0,0,2613,4112,0,70
8,-4,0.47,0.02,0.01,0.01,0.03,0.01,0,0,0,0,0,-1.5,0,0,2613,4114,0,80
9,0,1.34,0.02,0.02,0,0.05,0.01,-0.03,0,0,0,0,-1.5,0,0,2613,4115,0,90
10,6,2.21,0.02,0.01,0,0.07,0,-0.05,0.01,0,0,0,-2.5,-0.5,0,2613,4116,0,100
11,6,2.97,0.13,0,0,0.09,0,-0.08,0.02,0,0,0,-4,-0.5,0,2613,4118,0,110
12,8,3.84,0.13,0.02,0,0.11,0.01,-0.1,0.01,0,0,0,-4,0,0,2613,4119,0,120
13,11,4.71,0.12,0.01,0.01,0.13,-0.01,-0.12,0,0,0,0,-5,-0.5,0,2613,4120,0,130
14,14,5.48,0.12,0.01,0,0.15,-0.01,-0.14,0,0,0,0,-5,0,0,2613,4122,0,140
15,16,6.35,0.23,0.01,0,0.19,-0.01,-0.16,0,0,0,0,-7,0,0,2613,4123,0,150
16,18,7.21,0.22,0,0.01,0.2,-0.01,-0.17,0,0,0,0,-6.5,0,0,2613,4124,0,160
17,19,8.08,0.22,0.01,0.01,0.22,-0.02,-0.19,0.01,0,0,0,-8.5,-0.5,0,2613,4126,0,170
18,22,8.93,0.22,0,0,0.24,-0.01,-0.21,0,0,0,0,-9,-0.5,0,2613,4127,0,180
19,25,9.81,0.32,0.01,0,0.26,-0.02,-0.23,0.03,0,0,0,-10,-1,0,2613,4129,0,190
20,23,10.78,0.33,0.01,0.01,0.28,-0.02,-0.23,0.04,0,0,0,-10,-0.5,0,2613,4130,0,200
21,26,11.74,0.33,0.01,0,0.31,-0.02,-0.25,0.05,0,0,0,-11,-1,0,2613,4132,0,210
22,28,12.69,0.33,0,0.01,0.34,-0.02,-0.27,0.06,0,0,0,-12.5,-1.5,0,2613,4133,0,220
23,30,13.65,0.43,0,0,0.37,-0.02,-0.28,0.1,0,0,0,-14,-2,0,2613,4135,0,230
24,33,14.72,0.43,0,0,0.4,-0.02,-0.29,0.1,0,0,0,-14,-2,0,2613,4137,0,240
25,34,15.59,0.43,0.01,0,0.42,-0.02,-0.32,0.11,0,0,0,-15.5,-2,0,2613,4138,0,250
26,36,16.45,0.43,0,0,0.44,-0.01,-0.33,0.12,0,0,0,-16,-2.5,0,2613,4139,0,260
27,36,17.41,0.53,0.01,0,0.46,-0.02,-0.34,0.14,0,0,0,-16.5,-1.5,0,2613,4141,0,270
28,37,18.39,0.54,0.01,0,0.5,-0.02,-0.35,0.15,0,0,0,-18,-2,0,2613,4143,0,280
29,39,19.34,0.53,0.01,0,0.52,-0.02,-0.36,0.17,0,0,0,-19.5,-2,0,2613,4144,0,290
30,42,20.37,0.54,0.02,0,0.52,-0.03,-0.36,0.2,0,0,0,-19.5,-2,0,2613,4146,0,300
31,43,21.27,0.65,0.01,0.01,0.58,-0.02,-0.38,0.2,0,0,0,-20.5,-2.5,0,2613,4147,0,310
32,43,22.24,0.65,0.01,0.01,0.61,-0.02,-0.38,0.22,0,0,0,-21.5,-3,0,2613,4149,0,320
33,46,23.3,0.65,0.01,0,0.64,-0.02,-0.39,0.24,0,0,0,-23,-2.5,0,2613,4151,0,330
34,48,24.37,0.65,0.01,0.01,0.67,-0.03,-0.4,0.25,0,0,0,-24,-3,0,2613,4152,0,340
35,49,25.33,0.75,0.01,0,0.7,-0.02,-0.42,0.28,0,0,0,-24.5,-3,0,2613,4154,0,350
36,51,26.49,0.74,0,0.01,0.75,-0.02,-0.41,0.29,0,0,0,-26.5,-3,0,2613,4156,0,360
37,49,27.2,0.73,-0.01,-0.01,0.73,-0.03,-0.44,0.3,0,0,0,-25.5,-3,0,2613,4227,0,370
38,42,26.4,0.74,0,0.01,0.75,-0.03,-0.44,0.3,0,0,0,-24.5,-2,0,2613,4229,0,380
39,39,25.52,0.75,0,0,0.73,-0.02,-0.44,0.3,0,0,0,-24,-1.5,0,2613,4230,0,390
40,35,24.56,0.75,0,0,0.69,-0.02,-0.45,0.28,0,0,0,-23,-1,0,2613,4232,0,400
41,34,23.7,0.74,0,0,0.66,-0.02,-0.45,0.26,0,0,0,-22,-1.5,0,2613,4233,0,410
42,32,22.81,0.76,0,0,0.64,-0.02,-0.46,0.25,0,0,0,-21.5,-1.5,0,2613,4235,0,420
43,30,21.95,0.73,0.01,-0.01,0.6,-0.02,-0.44,0.24,0,0,0,-20.5,-2,0,2613,4236,0,430
44,28,21.13,0.66,0,-0.01,0.57,-0.02,-0.43,0.22,0,0,0,-20.5,-1.5,0,2613,4237,0,440
45,25,20.31,0.65,0,0,0.54,-0.02,-0.43,0.2,0,0,0,-19,-1.5,0,2613,4239,0,450
46,22,19.45,0.64,0,0,0.52,-0.03,-0.42,0.18,0,0,0,-17.5,-1.5,0,2613,4240,0,460
47,21,18.59,0.65,0.01,0,0.49,-0.02,-0.42,0.16,0,0,0,-17,-2.5,0,2613,4242,0,470
48,18,17.71,0.65,0,0,0.46,-0.01,-0.4,0.14,0,0,0,-17,-2,0,2613,4243,0,480
49,17,16.84,0.54,0,0.02,0.44,-0.02,-0.41,0.13,0,0,0,-15.5,-1.5,0,2613,4244,0,490
50,16,16.01,0.53,-0.01,0.01,0.4,-0.02,-0.38,0.11,0,0,0,-15,-2,0,2613,4246,0,500
51,13,15.2,0.54,0,0,0.38,-0.02,-0.37,0.09,0,0,0,-14,-1,0,2613,4247,0,510
52,12,14.34,0.54,0.01,0.01,0.36,-0.02,-0.35,0.08,0,0,0,-13.5,-1.5,0,2613,4249,0,520
53,11,13.46,0.54,0.01,0,0.34,-0.02,-0.33,0.06,0,0,0,-12.5,-1.5,0,2613,4250,0,530
54,9,12.51,0.44,0,0,0.31,-0.02,-0.33,0.03,0,0,0,-11.5,-1.5,0,2613,4252,0,540
55,6,11.64,0.43,0.01,0.01,0.28,-0.02,-0.3,0.03,0,0,0,-11.5,-1.5,0,2613,4253,0,550
56,6,10.68,0.44,0,0,0.26,-0.02,-0.28,-0.01,0,0,0,-11,-1,0,2613,4255,0,560
57,2,9.75,0.44,0,0.01,0.24,-0.02,-0.25,0,0,0,0,-9,-1.5,0,2613,4256,0,570
58,1,8.85,0.33,0,0.02,0.22,-0.01,-0.24,-0.01,0,0,0,-9,-1,0,2613,4258,0,580
59,-2,7.89,0.33,0.01,0,0.2,-0.02,-0.21,-0.01,0,0,0,-7.5,-0.5,0,2613,4259,0,590
60,-5,7.02,0.33,0,0.01,0.18,-0.02,-0.19,-0.02,0,0,0,-6.5,0,0,2613,4301,0,600
61,-5,6.23,0.31,0.01,-0.01,0.15,-0.02,-0.16,-0.02,0,0,0,-6.5,1,0,2613,4302,0,610
62,-2,6.25,0.23,0.01,0.01,0.16,-0.02,-0.16,-0.02,0,0,0,-6.5,-1,0,2613,4321,0,620
63,2,7.11,0.33,0,0,0.17,-0.02,-0.18,-0.03,0,0,0,-7.5,-1.5,0,2613,4322,0,630
64,5,7.88,0.33,0.01,0,0.19,-0.02,-0.19,-0.02,0,0,0,-8.5,-1.5,0,2613,4324,0,640
65,9,8.64,0.33,0.01,0,0.21,-0.02,-0.21,-0.02,0,0,0,-9,-1.5,0,2613,4325,0,650
66,12,9.41,0.34,0.01,0,0.24,-0.02,-0.22,-0.02,0,0,0,-10,-2,0,2613,4326,0,660
67,13,10.29,0.43,0,0.01,0.25,-0.01,-0.25,-0.02,0,0,0,-10.5,-1,0,2613,4328,0,670
68,15,11.06,0.44,0.01,0.01,0.28,-0.02,-0.26,-0.01,0,0,0,-11.5,-2,0,2613,4329,0,680
69,17,11.83,0.43,0,0,0.3,-0.01,-0.28,0.01,0,0,0,-12,-2,0,2613,4330,0,690
70,20,12.7,0.43,0,0,0.33,-0.02,-0.28,0.03,0,0,0,-12.5,-2.5,0,2613,4332,0,700
71,20,13.47,0.43,0,-0.01,0.35,-0.02,-0.29,0.04,0,0,0,-13.5,-2.5,0,2613,4333,0,710
72,23,14.33,0.55,0,0,0.38,-0.02,-0.3,0.06,0,0,0,-14,-2.5,0,2613,4334,0,720
73,24,15.11,0.54,0.01,0,0.4,-0.02,-0.32,0.08,0,0,0,-14.5,-2,0,2613,4336,0,730
74,26,15.88,0.53,-0.01,-0.01,0.42,-0.02,-0.33,0.09,0,0,0,-15.5,-1,0,2613,4337,0,740
75,28,16.73,0.53,-0.01,0,0.44,-0.02,-0.33,0.11,0,0,0,-16.5,-1.5,0,2613,4338,0,750
76,29,17.51,0.56,0,-0.01,0.46,-0.02,-0.35,0.11,0,0,0,-17.5,-1,0,2613,4339,0,760
77,31,18.28,0.65,0.01,-0.01,0.48,-0.03,-0.36,0.13,0,0,0,-18,-1,0,2613,4341,0,770
78,32,19.15,0.65,-0.01,-0.01,0.51,-0.03,-0.38,0.15,0,0,0,-18.5,-1.5,0,2613,4342,0,780
79,34,19.93,0.65,0,0,0.54,-0.03,-0.39,0.16,0,0,0,-20,-1,0,2613,4344,0,790
80,37,20.75,0.65,-0.01,0,0.56,-0.03,-0.39,0.18,0,0,0,-20.5,-1.5,0,2613,4345,0,800
81,38,21.56,0.65,0,-0.01,0.58,-0.04,-0.4,0.19,0,0,0,-21.5,-1.5,0,2613,4346,0,810
82,40,22.34,0.72,0.01,0,0.6,-0.02,-0.41,0.21,0,0,0,-21.5,-2.5,0,2613,4347,0,820
83,41,23.11,0.75,0.01,0,0.63,-0.02,-0.41,0.22,0,0,0,-22.5,-2.5,0,2613,4349,0,830
84,43,23.89,0.75,0.01,0,0.66,-0.02,-0.41,0.23,0,0,0,-23,-2.5,0,2613,4350,0,840
85,45,24.65,0.75,0,0,0.67,-0.03,-0.43,0.25,0,0,0,-23.5,-2.5,0,2613,4351,0,850
86,47,25.43,0.75,0,0,0.69,-0.02,-0.43,0.27,0,0,0,-24.5,-2.5,0,2613,4353,0,860
87,48,26.22,0.75,0,0,0.72,-0.02,-0.43,0.28,0,0,0,-25.5,-2.5,0,2613,4354,0,870
88,51,27.06,0.75,0,0,0.74,-0.02,-0.44,0.29,0,0,0,-26,-2.5,0,2613,4355,0,880
89,53,27.76,0.85,-0.01,0.01,0.76,-0.02,-0.44,0.3,0,0,0,-27,-3.5,0,2613,4357,0,890
90,53,28.59,0.85,0,0.01,0.8,-0.02,-0.44,0.32,0,0,0,-27.5,-3.5,0,2613,4358,0,900
91,54,29.29,0.86,0.01,0.01,0.83,-0.02,-0.45,0.32,0,0,0,-28.5,-3,0,2613,4359,0,910
92,56,30.06,0.86,0.01,0.01,0.85,-0.02,-0.46,0.34,0,0,0,-28.5,-3.5,0,2613,4400,0,920
93,57,30.79,0.87,0,0,0.87,-0.02,-0.45,0.33,0,0,0,-29.5,-3.5,0,2613,4402,0,930
94,58,31.43,0.86,0,0,0.88,-0.03,-0.46,0.35,0,0,0,-30.5,-3.5,0,2613,4403,0,940
95,62,32.19,0.85,0.01,0,0.91,-0.03,-0.47,0.36,0,0,0,-31.5,-3.5,0,2613,4404,0,950
96,62,32.91,0.96,0.01,0.01,0.94,-0.03,-0.47,0.37,0,0,0,-32,-3.5,0,2613,4406,0,960
97,62,33.65,0.96,0,0.01,0.98,-0.02,-0.47,0.39,0,0,0,-33,-4,0,2613,4407,0,970
98,64,34.41,0.97,0.01,0.01,1.01,-0.02,-0.48,0.4,0,0,0,-33.5,-4.5,0,2613,4408,0,980
99,67,35.39,0.96,0,0.01,1.04,-0.02,-0.47,0.41,0,0,0,-34.5,-4,0,2613,4410,0,990
100,69,36.16,0.95,0,0,1.06,-0.02,-0.48,0.41,0,0,0,-35.5,-4.5,0,2613,4411,0,1000
101,71,36.93,0.96,0,0.01,1.08,-0.02,-0.48,0.43,0,0,0,-36,-4.5,0,2613,4413,0,1010
102,70,37.7,0.96,0,0.01,1.11,-0.02,-0.49,0.44,0,0,0,-37,-4.5,0,2613,4414,0,1020
103,71,38.47,1.07,0,0.01,1.14,-0.02,-0.48,0.45,0,0,0,-38,-4,0,2613,4415,0,1030
104,74,39.26,1.07,-0.01,0.01,1.16,-0.01,-0.49,0.46,0,0,0,-37.5,-4,0,2613,4417,0,1040
105,76,40.03,1.06,0.01,0,1.19,-0.01,-0.49,0.48,0,0,0,-39.5,-5,0,2613,4418,0,1050
106,76,40.82,1.06,0,0,1.21,-0.01,-0.5,0.48,0,0,0,-39.5,-5.5,0,2613,4420,0,1060
107,77,41.49,1.06,0,0.01,1.23,-0.01,-0.51,0.5,0,0,0,-41,-6,0,2613,4421,0,1070
108,80,42.25,1.06,0.01,0.01,1.26,-0.01,-0.51,0.51,0,0,0,-41.5,-6,0,2613,4422,0,1080
109,80,43.05,1.08,0.02,0.01,1.29,-0.01,-0.51,0.52,0,0,0,-41.5,-6,0,2613,4424,0,1090
110,82,43.82,1.22,0.01,0,1.31,0,-0.51,0.53,0,0,0,-43,-5,0,2613,4425,0,1100
111,83,44.56,1.18,0,0.01,1.34,0.01,-0.51,0.54,0,0,0,-43.5,-5.5,0,2613,4426,0,1110
112,85,45.38,1.17,-0.02,0,1.36,0,-0.52,0.56,0,0,0,-45.5,-5.5,0,2613,4428,0,1120
113,86,46.16,1.17,-0.02,0,1.39,0,-0.52,0.57,0,0,0,-45,-6,0,2613,4429,0,1130
114,89,46.93,1.17,-0.04,0,1.42,0.01,-0.52,0.58,0,0,0,-45.5,-6,0,2613,4430,0,1140
115,89,47.71,1.17,-0.07,0,1.45,0,-0.53,0.59,0,0,0,-46.5,-6,0,2613,4432,0,1150
116,90,48.49,1.26,-0.08,0,1.47,0,-0.53,0.6,0,0,0,-48,-6,0,2613,4433,0,1160
117,90,49.27,1.28,-0.09,0,1.49,0.01,-0.53,0.62,0,0,0,-48,-6,0,2613,4434,0,1170
118,90,50.03,1.27,-0.09,0,1.53,0.02,-0.53,0.63,0,0,0,-49.5,-6,0,2613,4436,0,1180
119,94,50.82,1.27,-0.11,0,1.54,0.02,-0.54,0.64,0,0,0,-50,-6.5,0,2613,4437,0,1190
120,94,51.56,1.27,-0.1,0.01,1.58,0.02,-0.53,0.66,0,0,0,-51.5,-6,0,2613,4438,0,1200
121,95,52.39,1.27,-0.1,0.01,1.6,0.02,-0.54,0.67,0,0,0,-51.5,-5.5,0,2613,4440,0,1210
122,96,53.16,1.28,-0.11,0.01,1.63,0.01,-0.54,0.67,0,0,0,-52.5,-6.5,0,2613,4441,0,1220
123,99,53.85,1.36,-0.11,0,1.66,0.02,-0.55,0.69,0,0,0,-53.5,-6.5,0,2613,4442,0,1230
124,101,54.62,1.37,-0.1,0,1.68,0.03,-0.55,0.71,0,0,0,-53.5,-6.5,0,2613,4444,0,1240
125,101,55.41,1.38,-0.11,0,1.71,0.03,-0.56,0.72,0,0,0,-55,-6.5,0,2613,4445,0,1250
126,101,56.29,1.36,-0.11,0,1.74,0.03,-0.55,0.73,0,0,0,-55.5,-7,0,2613,4446,0,1260
127,98,56.39,1.52,-0.11,0,1.75,0.04,-0.56,0.74,0,0,0,-55.5,-6.5,0,2613,4516,0,1270
128,95,55.67,1.38,-0.11,0.01,1.72,0.04,-0.56,0.74,0,0,0,-53.5,-7,0,2613,4517,0,1280
129,92,54.92,1.37,-0.1,0.01,1.68,0.04,-0.58,0.72,0,0,0,-54,-6,0,2613,4519,0,1290
130,88,54.14,1.39,-0.1,0.01,1.65,0.04,-0.57,0.73,0,0,0,-53,-6,0,2613,4520,0,1300
131,86,53.35,1.38,-0.11,0,1.6,0.04,-0.57,0.71,0,0,0,-52,-6,0,2613,4521,0,1310
132,84,52.58,1.38,-0.1,0.01,1.59,0.04,-0.57,0.7,0,0,0,-50.5,-6,0,2613,4523,0,1320
133,83,51.81,1.38,-0.1,0.01,1.55,0.05,-0.57,0.69,0,0,0,-50.5,-6,0,2613,4524,0,1330
134,80,51.13,1.39,-0.1,0.01,1.52,0.04,-0.57,0.68,0,0,0,-49.5,-5.5,0,2613,4525,0,1340
135,80,50.34,1.38,-0.1,0.02,1.5,0.04,-0.57,0.66,0,0,0,-48.5,-5.5,0,2613,4527,0,1350
136,76,49.56,1.28,-0.11,0.01,1.46,0.05,-0.57,0.64,0,0,0,-48,-5.5,0,2613,4528,0,1360
137,74,48.79,1.28,-0.11,0,1.43,0.03,-0.57,0.63,0,0,0,-47,-5.5,0,2613,4529,0,1370
138,73,48,1.28,-0.09,0.01,1.39,0.04,-0.57,0.62,0,0,0,-46.5,-6,0,2613,4530,0,1380
139,72,47.23,1.26,-0.1,0.01,1.38,0.04,-0.57,0.61,0,0,0,-45,-6,0,2613,4532,0,1390
140,69,46.44,1.27,-0.1,0,1.35,0.04,-0.57,0.58,0,0,0,-45,-6.5,0,2613,4533,0,1400
141,66,45.67,1.27,-0.11,0,1.31,0.04,-0.57,0.57,0,0,0,-44,-6,0,2613,4534,0,1410
142,66,44.9,1.27,-0.11,-0.01,1.29,0.04,-0.56,0.56,0,0,0,-43,-6,0,2613,4536,0,1420
143,64,44.11,1.26,-0.1,0,1.27,0.04,-0.56,0.55,0,0,0,-42.5,-5.5,0,2613,4537,0,1430
144,62,43.32,1.27,-0.1,0,1.24,0.04,-0.56,0.52,0,0,0,-42,-5,0,2613,4538,0,1440
145,60,42.56,1.27,-0.1,0.01,1.21,0.04,-0.56,0.53,0,0,0,-41.5,-5,0,2613,4540,0,1450
146,57,41.78,1.21,-0.1,0,1.2,0.05,-0.55,0.5,0,0,0,-40,-5,0,2613,4541,0,1460
147,56,41.01,1.17,-0.1,0,1.16,0.04,-0.53,0.49,0,0,0,-39.5,-5.5,0,2613,4542,0,1470
148,55,40.23,1.16,-0.11,0,1.14,0.03,-0.55,0.47,0,0,0,-39.5,-4.5,0,2613,4544,0,1480
149,52,39.45,1.17,-0.1,0,1.11,0.05,-0.55,0.45,0,0,0,-38,-5.5,0,2613,4545,0,1490
150,51,38.58,1.17,-0.1,0,1.08,0.04,-0.54,0.44,0,0,0,-37.5,-4.5,0,2613,4546,0,1500
151,49,37.84,1.15,-0.1,0,1.06,0.05,-0.54,0.43,0,0,0,-36.5,-5,0,2613,4548,0,1510
152,47,37.09,1.17,-0.11,0,1.03,0.02,-0.53,0.41,0,0,0,-36,-4.5,0,2613,4549,0,1520
153,45,36.28,1.16,-0.11,0,1.01,0.04,-0.53,0.39,0,0,0,-35,-5,0,2613,4550,0,1530
154,42,35.48,1.17,-0.11,0,0.99,0.03,-0.52,0.38,0,0,0,-34.5,-5,0,2613,4552,0,1540
155,42,34.7,1.12,-0.11,0,0.95,0.03,-0.53,0.35,0,0,0,-33.5,-4.5,0,2613,4553,0,1550
156,40,33.93,1.06,-0.11,0,0.93,0.03,-0.52,0.34,0,0,0,-32.5,-4.5,0,2613,4554,0,1560
157,38,33.16,1.06,-0.11,0,0.9,0.03,-0.51,0.33,0,0,0,-32,-4,0,2613,4556,0,1570
158,36,32.38,1.06,-0.11,0,0.89,0.03,-0.51,0.32,0,0,0,-31,-4,0,2613,4557,0,1580
159,34,31.61,1.07,-0.11,0,0.86,0.04,-0.5,0.3,0,0,0,-30.5,-4,0,2613,4558,0,1590
160,32,30.84,1.05,-0.1,0,0.83,0.03,-0.5,0.28,0,0,0,-29.5,-3.5,0,2613,4600,0,1600
161,31,30.07,1.05,-0.1,0,0.81,0.02,-0.5,0.27,0,0,0,-28.5,-3.5,0,2613,4601,0,1610
162,29,29.29,1.06,-0.1,0,0.78,0.02,-0.49,0.25,0,0,0,-27.5,-2.5,0,2613,4602,0,1620
163,27,28.45,0.96,-0.12,0,0.76,0.03,-0.49,0.24,0,0,0,-27.5,-2.5,0,2613,4603,0,1630
164,26,27.75,0.95,-0.11,0,0.74,0.02,-0.48,0.23,0,0,0,-27,-3,0,2613,4605,0,1640
165,23,26.97,0.95,-0.11,0,0.72,0.02,-0.46,0.21,0,0,0,-26,-2.5,0,2613,4606,0,1650
166,21,26.29,0.96,-0.11,0,0.69,0.02,-0.46,0.2,0,0,0,-25,-3,0,2613,4607,0,1660
167,20,25.45,0.95,-0.11,0,0.67,0.02,-0.47,0.18,0,0,0,-24.5,-3,0,2613,4608,0,1670
168,18,24.65,0.96,-0.11,0,0.64,0.01,-0.45,0.17,0,0,0,-23.5,-2.5,0,2613,4610,0,1680
169,17,23.98,0.92,-0.1,0,0.62,0.01,-0.44,0.16,0,0,0,-23,-3,0,2613,4611,0,1690
170,15,23.21,0.86,-0.11,0.01,0.6,0.01,-0.44,0.15,0,0,0,-23,-2.5,0,2613,4612,0,1700
171,13,22.52,0.86,-0.1,0,0.58,0.01,-0.43,0.13,0,0,0,-21,-2,0,2613,4613,0,1710
172,12,21.75,0.86,-0.1,-0.01,0.56,0.02,-0.42,0.11,0,0,0,-21,-2,0,2613,4615,0,1720
173,12,20.98,0.85,-0.11,0,0.54,0,-0.4,0.1,0,0,0,-20.5,-2,0,2613,4616,0,1730
174,10,20.11,0.87,-0.11,0,0.51,0.01,-0.39,0.09,0,0,0,-19.5,-2,0,2613,4617,0,1740
175,8,19.35,0.75,-0.11,0,0.48,0,-0.37,0.08,0,0,0,-18.5,-2,0,2613,4619,0,1750
176,6,18.57,0.75,-0.1,0.01,0.46,0.01,-0.37,0.06,0,0,0,-17.5,-2,0,2613,4620,0,1760
177,6,17.79,0.75,-0.1,0.01,0.44,0.01,-0.36,0.04,0,0,0,-17,-1.5,0,2613,4621,0,1770
178,3,16.84,0.75,-0.11,0,0.41,0,-0.34,0.03,0,0,0,-16,-2,0,2613,4623,0,1780
179,2,16.07,0.73,-0.11,0.01,0.39,0.01,-0.32,0.01,0,0,0,-16,-1.5,0,2613,4624,0,1790
180,1,15.19,0.64,-0.12,-0.01,0.37,0.01,-0.3,-0.01,0,0,0,-15,-1,0,2613,4626,0,1800
181,-1,14.43,0.64,-0.11,0.01,0.34,0.01,-0.28,-0.02,0,0,0,-13.5,-0.5,0,2613,4627,0,1810
182,-2,13.65,0.64,-0.11,0.01,0.33,0.01,-0.26,-0.02,0,0,0,-13.5,-0.5,0,2613,4628,0,1820
183,-3,12.89,0.64,-0.1,0,0.31,0,-0.24,-0.03,0,0,0,-13,-1,0,2613,4630,0,1830
184,-2,12.79,0.64,-0.1,0.01,0.31,0.01,-0.24,-0.03,0,0,0,-13,-0.5,0,2613,4707,0,1840
185,3,13.36,0.65,-0.09,0.02,0.31,0,-0.24,-0.04,0,0,0,-14,-1,0,2613,4709,0,1850
186,6,14.23,0.65,-0.09,0.01,0.32,0,-0.24,-0.03,0,0,0,-15,-1.5,0,2613,4710,0,1860
187,7,15,0.66,-0.08,0.02,0.36,0.01,-0.25,-0.01,0,0,0,-15.5,-0.5,0,2613,4711,0,1870
188,11,15.79,0.65,-0.1,0.02,0.37,0,-0.26,-0.01,0,0,0,-16,-1,0,2613,4713,0,1880
189,13,16.64,0.65,-0.1,0.02,0.4,0,-0.29,0,0,0,0,-17,-1.5,0,2613,4714,0,1890
190,14,17.41,0.76,-0.11,0.01,0.42,0.01,-0.29,0.03,0,0,0,-17.5,-1,0,2613,4715,0,1900
191,17,18.18,0.76,-0.1,0.01,0.45,0,-0.31,0.04,0,0,0,-18.5,-1,0,2613,4717,0,1910
192,17,19.05,0.75,-0.1,0.02,0.47,0.01,-0.32,0.06,0,0,0,-19.5,-1,0,2613,4718,0,1920
193,20,19.82,0.76,-0.1,0.01,0.49,0.01,-0.34,0.06,0,0,0,-19.5,-1.5,0,2613,4719,0,1930
194,21,20.6,0.75,-0.1,0.01,0.53,0.01,-0.34,0.09,0,0,0,-20.5,-2.5,0,2613,4721,0,1940
195,24,21.46,0.87,-0.1,0.02,0.55,0.01,-0.35,0.11,0,0,0,-21,-2.5,0,2613,4722,0,1950
196,25,22.24,0.86,-0.11,0,0.57,0.01,-0.37,0.11,0,0,0,-21.5,-3,0,2613,4723,0,1960
197,27,23.1,0.85,-0.1,0.01,0.61,0.02,-0.37,0.13,0,0,0,-23,-3.5,0,2613,4725,0,1970
198,28,23.88,0.86,-0.1,0.01,0.63,0.01,-0.38,0.14,0,0,0,-23,-3,0,2613,4726,0,1980
199,30,24.65,0.86,-0.09,0.01,0.65,0.02,-0.39,0.16,0,0,0,-24,-3,0,2613,4727,0,1990
200,32,25.44,0.88,-0.1,0.01,0.68,0.01,-0.41,0.17,0,0,0,-25,-3,0,2613,4729,0,2000
201,34,26.27,0.97,-0.1,0.02,0.71,0.01,-0.41,0.19,0,0,0,-26,-2.5,0,2613,4730,0,2010
202,37,27.06,0.96,-0.1,0.01,0.73,0.01,-0.42,0.2,0,0,0,-26.5,-3,0,2613,4731,0,2020
203,39,27.84,0.97,-0.1,0.02,0.75,0.01,-0.43,0.21,0,0,0,-27,-3,0,2613,4733,0,2030
204,39,28.72,0.97,-0.1,0.01,0.79,0.01,-0.44,0.23,0,0,0,-28,-3.5,0,2613,4734,0,2040
205,43,29.48,0.97,-0.09,0.01,0.81,0.01,-0.44,0.25,0,0,0,-28,-3.5,0,2613,4735,0,2050
206,44,30.26,0.97,-0.1,0.02,0.84,0.01,-0.45,0.26,0,0,0,-29.5,-3.5,0,2613,4737,0,2060
207,45,31.12,1.02,-0.09,0.02,0.86,0.01,-0.46,0.28,0,0,0,-30.5,-4.5,0,2613,4738,0,2070
208,48,31.89,1.07,-0.09,0.01,0.89,0.01,-0.47,0.28,0,0,0,-31,-4.5,0,2613,4739,0,2080
209,51,32.67,1.07,-0.09,0.01,0.91,0.01,-0.46,0.3,0,0,0,-32,-4,0,2613,4741,0,2090
